Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
17:28:16.915,UP,32,010,263,3300,,,,0x20672507,CSA5
17:28:16.915,DOWN,32,010,256,3368,-7,68,-26991.08,0x60694100,CSA5
17:28:16.915,UP,33,010,173,3714,,,,0x217414AD,CSA5
17:28:16.915,DOWN,33,010,166,3791,-7,77,-27000.08,0x617678A6,CSA5
17:28:16.915,UP,34,010,82,228,,,,0x22072452,CSA5
17:28:16.915,DOWN,34,010,75,293,-7,65,-26988.08,0x6209284B,CSA5
17:28:16.915,UP,35,010,1016,615,,,,0x23133FF8,CSA5
17:28:16.915,DOWN,35,010,1009,688,-7,73,-26996.08,0x631583F1,CSA5
17:28:16.915,UP,36,010,926,1007,,,,0x241F7F9E,CSA5
17:28:16.915,DOWN,36,010,919,1100,-7,93,-27016.08,0x64226397,CSA5
17:28:16.915,UP,37,010,836,1383,,,,0x252B3F44,CSA5
17:28:16.915,DOWN,37,010,829,1463,-7,80,-27003.08,0x652DBB3D,CSA5
17:28:16.915,UP,38,010,746,1758,,,,0x2636F6EA,CSA5
17:28:16.915,DOWN,38,010,739,1835,-7,77,-27000.08,0x66395AE3,CSA5
17:28:16.915,UP,39,010,656,2174,,,,0x2743F690,CSA5
17:28:16.915,DOWN,39,010,649,2246,-7,72,-26995.08,0x67463289,CSA5
17:28:16.915,UP,40,010,566,2529,,,,0x284F0E36,CSA5
17:28:16.915,DOWN,40,010,559,2604,-7,75,-26998.08,0x6851622F,CSA5
17:28:16.915,UP,41,010,476,2911,,,,0x295AFDDC,CSA5
17:28:16.915,DOWN,41,010,469,2983,-7,72,-26995.08,0x695D39D5,CSA5
17:28:16.915,UP,42,010,386,3288,,,,0x2A66C582,CSA5
17:28:16.915,DOWN,42,010,379,3368,-7,80,-27003.08,0x6A69417B,CSA5
17:28:16.915,UP,43,010,296,3678,,,,0x2B72F528,CSA5
17:28:16.915,DOWN,43,010,289,3760,-7,82,-27005.08,0x6B758121,CSA5
17:28:16.915,UP,44,010,205,276,,,,0x2C08A4CD,CSA5
17:28:16.915,DOWN,44,010,198,356,-7,80,-27003.08,0x6C0B20C6,CSA5
17:28:16.915,UP,45,010,115,640,,,,0x2D140473,CSA5
17:28:16.915,DOWN,45,010,108,724,-7,84,-27007.08,0x6D16A06C,CSA5
17:28:16.915,UP,46,010,25,975,,,,0x2E1E7C19,CSA5
17:28:16.915,DOWN,46,010,18,1072,-7,97,-27020.08,0x6E218012,CSA5
17:28:16.915,UP,47,010,959,1383,,,,0x2F2B3FBF,CSA5
17:28:16.915,DOWN,47,010,952,1463,-7,80,-27003.08,0x6F2DBBB8,CSA5
17:28:16.915,UP,48,010,869,1758,,,,0x3036F765,CSA5
17:28:16.915,DOWN,48,010,862,1835,-7,77,-27000.08,0x70395B5E,CSA5
17:28:16.915,UP,49,010,779,2219,,,,0x31455F0B,CSA5
17:28:16.915,DOWN,49,010,772,2292,-7,73,-26996.08,0x7147A304,CSA5
17:28:16.915,UP,50,010,689,2514,,,,0x324E96B1,CSA5
17:28:16.915,DOWN,50,010,682,2592,-7,78,-27001.08,0x725102AA,CSA5
17:28:16.915,UP,51,010,599,2891,,,,0x335A5E57,CSA5
17:28:16.915,DOWN,51,010,592,2969,-7,78,-27001.08,0x735CCA50,CSA5
17:28:16.915,UP,52,010,509,3353,,,,0x3468CDFD,CSA5
17:28:16.915,DOWN,52,010,502,3421,-7,68,-26991.08,0x746AE9F6,CSA5
17:28:16.915,UP,53,010,419,3678,,,,0x3572F5A3,CSA5
17:28:16.915,DOWN,53,010,412,3760,-7,82,-27005.08,0x7575819C,CSA5
17:28:16.915,UP,54,010,328,228,,,,0x36072548,CSA5
17:28:16.915,DOWN,54,010,321,310,-7,82,-27005.08,0x7609B141,CSA5
17:28:16.915,UP,55,010,238,587,,,,0x37125CEE,CSA5
17:28:16.915,DOWN,55,010,231,653,-7,66,-26989.08,0x771468E7,CSA5
17:28:16.915,UP,56,010,148,975,,,,0x381E7C94,CSA5
17:28:16.915,DOWN,56,010,141,1048,-7,73,-26996.08,0x7820C08D,CSA5
