Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:13:20.949,UP,40,101,14,2864,,,,0x2859840E,CSA2
15:13:20.949,DOWN,40,101,17,2725,3,-139,11677.46,0x68552811,CSA2
15:13:20.949,UP,41,101,948,3232,,,,0x296507B4,CSA2
15:13:20.949,DOWN,41,101,951,3076,3,-156,11694.46,0x696023B7,CSA2
15:13:20.949,UP,42,101,858,3640,,,,0x2A71C75A,CSA2
15:13:20.949,DOWN,42,101,861,3499,3,-141,11679.46,0x6A6D5B5D,CSA2
15:13:20.949,UP,43,101,767,127,,,,0x2B03FEFF,CSA2
15:13:20.949,DOWN,43,101,771,3842,4,3715,11669.62,0x6B781303,CSA2
15:13:20.949,UP,44,101,677,495,,,,0x2C0F7EA5,CSA2
15:13:20.949,DOWN,44,101,680,342,3,-153,11691.46,0x6C0AB2A8,CSA2
15:13:20.949,UP,45,101,587,901,,,,0x2D1C2E4B,CSA2
15:13:20.949,DOWN,45,101,590,755,3,-146,11684.46,0x6D179A4E,CSA2
15:13:20.949,UP,46,101,497,1280,,,,0x2E2805F1,CSA2
15:13:20.949,DOWN,46,101,500,1137,3,-143,11681.46,0x6E2389F4,CSA2
15:13:20.949,UP,47,101,407,1665,,,,0x2F340D97,CSA2
15:13:20.949,DOWN,47,101,410,1509,3,-156,11694.46,0x6F2F299A,CSA2
15:13:20.949,UP,48,101,317,2048,,,,0x3040053D,CSA2
15:13:20.949,DOWN,48,101,320,1895,3,-153,11691.46,0x703B3940,CSA2
15:13:20.949,UP,49,101,227,2439,,,,0x314C3CE3,CSA2
15:13:20.949,DOWN,49,101,230,2298,3,-141,11679.46,0x7147D0E6,CSA2
15:13:20.949,UP,50,101,137,2878,,,,0x3259F489,CSA2
15:13:20.949,DOWN,50,101,140,2725,3,-153,11691.46,0x7255288C,CSA2
15:13:20.949,UP,51,101,47,3203,,,,0x33641C2F,CSA2
15:13:20.949,DOWN,51,101,50,3050,3,-153,11691.46,0x735F5032,CSA2
15:13:20.949,UP,52,101,981,3622,,,,0x347137D5,CSA2
15:13:20.949,DOWN,52,101,984,3468,3,-154,11692.46,0x746C63D8,CSA2
15:13:20.949,UP,53,101,890,109,,,,0x35036F7A,CSA2
15:13:20.949,DOWN,53,101,894,3825,4,3716,11668.62,0x75778B7E,CSA2
15:13:20.949,UP,54,101,800,495,,,,0x360F7F20,CSA2
15:13:20.949,DOWN,54,101,803,327,3,-168,11706.46,0x760A3B23,CSA2
15:13:20.949,UP,55,101,710,916,,,,0x371CA6C6,CSA2
15:13:20.949,DOWN,55,101,713,755,3,-161,11699.46,0x77179AC9,CSA2
15:13:20.949,UP,56,101,620,1280,,,,0x3828066C,CSA2
15:13:20.949,DOWN,56,101,623,1137,3,-143,11681.46,0x78238A6F,CSA2
15:13:20.949,UP,57,101,530,1665,,,,0x39340E12,CSA2
15:13:20.949,DOWN,57,101,533,1517,3,-148,11686.46,0x792F6A15,CSA2
15:13:20.949,UP,58,101,440,2077,,,,0x3A40EDB8,CSA2
15:13:20.949,DOWN,58,101,443,1939,3,-138,11676.46,0x7A3C99BB,CSA2
15:13:20.949,UP,59,101,350,2412,,,,0x3B4B655E,CSA2
15:13:20.949,DOWN,59,101,353,2266,3,-146,11684.46,0x7B46D161,CSA2
15:13:20.949,UP,60,101,260,2844,,,,0x3C58E504,CSA2
15:13:20.949,DOWN,60,101,263,2693,3,-151,11689.46,0x7C542907,CSA2
15:13:20.949,UP,61,101,170,3257,,,,0x3D65CCAA,CSA2
15:13:20.949,DOWN,61,101,173,3089,3,-168,11706.46,0x7D6088AD,CSA2
15:13:20.949,UP,62,101,80,3561,,,,0x3E6F4C50,CSA2
15:13:20.949,DOWN,62,101,83,3418,3,-143,11681.46,0x7E6AD053,CSA2
15:13:20.949,UP,63,101,1013,127,,,,0x3F03FFF5,CSA2
15:13:20.949,DOWN,63,101,1017,3842,4,3715,11669.62,0x7F7813F9,CSA2
15:13:20.949,UP,0,101,923,495,,,,0x000F7F9B,CSA2
15:13:20.950,DOWN,0,101,926,342,3,-153,11691.46,0x400AB39E,CSA2
15:13:20.950,UP,1,101,833,870,,,,0x011B3741,CSA2
15:13:20.950,DOWN,1,101,836,715,3,-155,11693.46,0x41165B44,CSA2
15:13:20.950,UP,2,101,743,1241,,,,0x0226CEE7,CSA2
15:13:20.950,DOWN,2,101,746,1082,3,-159,11697.46,0x4221D2EA,CSA2
15:13:20.950,UP,3,101,653,1665,,,,0x03340E8D,CSA2
15:13:20.950,DOWN,3,101,656,1517,3,-148,11686.46,0x432F6A90,CSA2
15:13:20.950,UP,4,101,563,2048,,,,0x04400633,CSA2
15:13:20.950,DOWN,4,101,566,1895,3,-153,11691.46,0x443B3A36,CSA2
15:13:20.950,UP,5,101,473,2465,,,,0x054D0DD9,CSA2
15:13:20.950,DOWN,5,101,476,2327,3,-138,11676.46,0x4548B9DC,CSA2
15:13:20.950,UP,6,101,383,2844,,,,0x0658E57F,CSA2
15:13:20.950,DOWN,6,101,386,2711,3,-133,11671.46,0x4654B982,CSA2
15:13:20.950,UP,7,101,293,3232,,,,0x07650525,CSA2
15:13:20.950,DOWN,7,101,296,3070,3,-162,11700.46,0x475FF128,CSA2
15:13:20.950,UP,8,101,203,3606,,,,0x0870B4CB,CSA2
15:13:20.950,DOWN,8,101,206,3451,3,-155,11693.46,0x486BD8CE,CSA2
15:13:20.950,UP,9,101,112,86,,,,0x0902B470,CSA2
