Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:02:01.394,UP,12,001,281,2641,,,,0x0C528D19,CSA4
15:02:01.394,DOWN,12,001,279,2236,-2,-405,-7287.31,0x4C45E117,CSA4
15:02:01.394,UP,13,001,191,3058,,,,0x0D5F94BF,CSA4
15:02:01.394,DOWN,13,001,189,2649,-2,-409,-7283.31,0x4D52C8BD,CSA4
15:02:01.394,UP,14,001,101,3406,,,,0x0E6A7465,CSA4
15:02:01.394,DOWN,14,001,99,2984,-2,-422,-7270.31,0x4E5D4063,CSA4
15:02:01.394,UP,15,001,11,3824,,,,0x0F77840B,CSA4
15:02:01.394,DOWN,15,001,9,3418,-2,-406,-7286.31,0x4F6AD009,CSA4
15:02:01.394,UP,16,001,944,371,,,,0x100B9FB0,CSA4
15:02:01.394,DOWN,16,001,943,3809,-1,3438,-7284.15,0x50770BAF,CSA4
15:02:01.394,UP,17,001,854,820,,,,0x1119A756,CSA4
15:02:01.394,DOWN,17,001,852,391,-2,-429,-7263.31,0x510C3B54,CSA4
15:02:01.394,UP,18,001,764,1139,,,,0x12239EFC,CSA4
15:02:01.394,DOWN,18,001,762,732,-2,-407,-7285.31,0x5216E2FA,CSA4
15:02:01.394,UP,19,001,674,1521,,,,0x132F8EA2,CSA4
15:02:01.394,DOWN,19,001,672,1096,-2,-425,-7267.31,0x532242A0,CSA4
15:02:01.394,UP,20,001,584,1904,,,,0x143B8648,CSA4
15:02:01.394,DOWN,20,001,582,1494,-2,-410,-7282.31,0x542EB246,CSA4
15:02:01.394,UP,21,001,494,2295,,,,0x1547BDEE,CSA4
15:02:01.394,DOWN,21,001,492,1895,-2,-400,-7292.31,0x553B39EC,CSA4
15:02:01.395,UP,22,001,404,2668,,,,0x16536594,CSA4
15:02:01.395,DOWN,22,001,402,2251,-2,-417,-7275.31,0x56465992,CSA4
15:02:01.395,UP,23,001,314,3058,,,,0x175F953A,CSA4
15:02:01.395,DOWN,23,001,312,2636,-2,-422,-7270.31,0x57526138,CSA4
15:02:01.395,UP,24,001,224,3472,,,,0x186C84E0,CSA4
15:02:01.395,DOWN,24,001,222,3062,-2,-410,-7282.31,0x585FB0DE,CSA4
