Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:01:26.240,UP,28,001,703,371,,,,0x1C0B9EBF,CSA1
15:01:26.240,DOWN,28,001,705,1123,2,752,6940.31,0x5C231AC1,CSA1
15:01:26.240,UP,29,001,613,751,,,,0x1D177E65,CSA1
15:01:26.241,DOWN,29,001,615,1494,2,743,6949.31,0x5D2EB267,CSA1
15:01:26.241,UP,30,001,523,1094,,,,0x1E22360B,CSA1
15:01:26.241,DOWN,30,001,525,1853,2,759,6933.31,0x5E39EA0D,CSA1
15:01:26.241,UP,31,001,433,1468,,,,0x1F2DE5B1,CSA1
15:01:26.241,DOWN,31,001,435,2236,2,768,6924.31,0x5F45E1B3,CSA1
15:01:26.241,UP,32,001,343,1904,,,,0x203B8557,CSA1
15:01:26.241,DOWN,32,001,345,2662,2,758,6934.31,0x60533159,CSA1
15:01:26.241,UP,33,001,253,2283,,,,0x21475CFD,CSA1
15:01:26.241,DOWN,33,001,255,3023,2,740,6952.31,0x615E78FF,CSA1
15:01:26.241,UP,34,001,163,2699,,,,0x22545CA3,CSA1
15:01:26.241,DOWN,34,001,165,3451,2,752,6940.31,0x626BD8A5,CSA1
15:01:26.241,UP,35,001,73,3045,,,,0x235F2C49,CSA1
15:01:26.241,DOWN,35,001,75,3794,2,749,6943.31,0x6376904B,CSA1
15:01:26.241,UP,36,001,1007,3391,,,,0x2469FFEF,CSA1
15:01:26.241,DOWN,36,001,1008,256,1,-3135,6981.15,0x640803F0,CSA1
15:01:26.241,UP,37,001,917,3805,,,,0x2576EF95,CSA1
15:01:26.241,DOWN,37,001,918,683,1,-3122,6968.15,0x65155B96,CSA1
15:01:26.241,UP,38,001,826,354,,,,0x260B173A,CSA1
15:01:26.241,DOWN,38,001,828,1123,2,769,6923.31,0x66231B3C,CSA1
15:01:26.241,UP,39,001,736,717,,,,0x27166EE0,CSA1
15:01:26.241,DOWN,39,001,738,1475,2,758,6934.31,0x672E1AE2,CSA1
15:01:26.241,UP,40,001,646,1139,,,,0x28239E86,CSA1
15:01:26.241,DOWN,40,001,648,1895,2,756,6936.31,0x683B3A88,CSA1
15:01:26.241,UP,41,001,556,1524,,,,0x292FA62C,CSA1
15:01:26.241,DOWN,41,001,558,2266,2,742,6950.31,0x6946D22E,CSA1
15:01:26.241,UP,42,001,466,1887,,,,0x2A3AFDD2,CSA1
15:01:26.241,DOWN,42,001,468,2649,2,762,6930.31,0x6A52C9D4,CSA1
15:01:26.241,UP,43,001,376,2268,,,,0x2B46E578,CSA1
15:01:26.241,DOWN,43,001,378,3010,2,742,6950.31,0x6B5E117A,CSA1
15:01:26.241,UP,44,001,286,2641,,,,0x2C528D1E,CSA1
15:01:26.241,DOWN,44,001,288,3387,2,746,6946.31,0x6C69D920,CSA1
15:01:26.241,UP,45,001,196,3045,,,,0x2D5F2CC4,CSA1
15:01:26.241,DOWN,45,001,198,3809,2,764,6928.31,0x6D7708C6,CSA1
15:01:26.241,UP,46,001,106,3406,,,,0x2E6A746A,CSA1
15:01:26.241,DOWN,46,001,107,284,1,-3122,6968.15,0x6E08E06B,CSA1
15:01:26.241,UP,47,001,16,3838,,,,0x2F77F410,CSA1
15:01:26.241,DOWN,47,001,17,732,1,-3106,6952.15,0x6F16E011,CSA1
15:01:26.241,UP,48,001,949,308,,,,0x3009A7B5,CSA1
15:01:26.241,DOWN,48,001,951,1070,2,762,6930.31,0x702173B7,CSA1
15:01:26.241,UP,49,001,859,717,,,,0x31166F5B,CSA1
15:01:26.241,DOWN,49,001,861,1475,2,758,6934.31,0x712E1B5D,CSA1
15:01:26.241,UP,50,001,769,1119,,,,0x3222FF01,CSA1
15:01:26.241,DOWN,50,001,771,1881,2,762,6930.31,0x723ACB03,CSA1
15:01:26.241,UP,51,001,679,1468,,,,0x332DE6A7,CSA1
15:01:26.241,DOWN,51,001,681,2236,2,768,6924.31,0x7345E2A9,CSA1
15:01:26.241,UP,52,001,589,1919,,,,0x343BFE4D,CSA1
15:01:26.241,DOWN,52,001,591,2649,2,730,6962.31,0x7452CA4F,CSA1
15:01:26.241,UP,53,001,499,2253,,,,0x35466DF3,CSA1
15:01:26.241,DOWN,53,001,501,2984,2,731,6961.31,0x755D41F5,CSA1
15:01:26.241,UP,54,001,409,2592,,,,0x36510599,CSA1
15:01:26.241,DOWN,54,001,411,3340,2,748,6944.31,0x7668619B,CSA1
15:01:26.241,UP,55,001,319,3058,,,,0x375F953F,CSA1
