Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
17:26:23.768,UP,28,001,742,873,,,,0x1C1B4EE6,CSA5
17:26:23.768,DOWN,28,001,739,1428,-3,555,-12093.46,0x5C2CA2E3,CSA5
17:26:23.768,UP,29,001,652,1194,,,,0x1D25568C,CSA5
17:26:23.768,DOWN,29,001,649,1766,-3,572,-12110.46,0x5D373289,CSA5
17:26:23.768,UP,30,001,562,1565,,,,0x1E30EE32,CSA5
17:26:23.768,DOWN,30,001,559,2101,-3,536,-12074.46,0x5E41AA2F,CSA5
17:26:23.768,UP,31,001,472,1930,,,,0x1F3C55D8,CSA5
17:26:23.768,DOWN,31,001,469,2507,-3,577,-12115.46,0x5F4E59D5,CSA5
17:26:23.768,UP,32,001,382,2332,,,,0x2048E57E,CSA5
17:26:23.768,DOWN,32,001,379,2897,-3,565,-12103.46,0x605A897B,CSA5
17:26:23.768,UP,33,001,292,2727,,,,0x21553D24,CSA5
17:26:23.768,DOWN,33,001,289,3264,-3,537,-12075.46,0x61660121,CSA5
17:26:23.768,UP,34,001,202,3113,,,,0x22614CCA,CSA5
17:26:23.768,DOWN,34,001,199,3667,-3,554,-12092.46,0x627298C7,CSA5
17:26:23.768,UP,35,001,112,3504,,,,0x236D8470,CSA5
17:26:23.768,DOWN,35,001,108,222,-4,-3282,-12102.62,0x6306F06C,CSA5
17:26:23.768,UP,36,001,21,34,,,,0x24011415,CSA5
17:26:23.768,DOWN,36,001,18,593,-3,559,-12097.46,0x64128812,CSA5
17:26:23.768,UP,37,001,955,489,,,,0x250F4FBB,CSA5
17:26:23.768,DOWN,37,001,952,1033,-3,544,-12082.46,0x65204BB8,CSA5
17:26:23.768,UP,38,001,865,809,,,,0x26194F61,CSA5
17:26:23.768,DOWN,38,001,862,1343,-3,534,-12072.46,0x6629FB5E,CSA5
17:26:23.768,UP,39,001,775,1230,,,,0x27267707,CSA5
17:26:23.768,DOWN,39,001,772,1792,-3,562,-12100.46,0x67380304,CSA5
17:26:23.768,UP,40,001,685,1589,,,,0x2831AEAD,CSA5
17:26:23.768,DOWN,40,001,682,2137,-3,548,-12086.46,0x6842CAAA,CSA5
17:26:23.768,UP,41,001,595,1988,,,,0x293E2653,CSA5
17:26:23.768,DOWN,41,001,592,2544,-3,556,-12094.46,0x694F8250,CSA5
17:26:23.768,UP,42,001,505,2319,,,,0x2A487DF9,CSA5
17:26:23.768,DOWN,42,001,502,2876,-3,557,-12095.46,0x6A59E1F6,CSA5
17:26:23.768,UP,43,001,415,2754,,,,0x2B56159F,CSA5
17:26:23.768,DOWN,43,001,412,3309,-3,555,-12093.46,0x6B67699C,CSA5
17:26:23.768,UP,44,001,325,3128,,,,0x2C61C545,CSA5
17:26:23.768,DOWN,44,001,322,3687,-3,559,-12097.46,0x6C733942,CSA5
17:26:23.768,UP,45,001,235,3520,,,,0x2D6E04EB,CSA5
17:26:23.768,DOWN,45,001,231,236,-4,-3284,-12100.62,0x6D0760E7,CSA5
17:26:23.768,UP,46,001,144,49,,,,0x2E018C90,CSA5
17:26:23.768,DOWN,46,001,141,605,-3,556,-12094.46,0x6E12E88D,CSA5
17:26:23.768,UP,47,001,54,460,,,,0x2F0E6436,CSA5
17:26:23.768,DOWN,47,001,51,1013,-3,553,-12091.46,0x6F1FA833,CSA5
17:26:23.768,UP,48,001,988,823,,,,0x3019BFDC,CSA5
17:26:23.769,DOWN,48,001,985,1359,-3,536,-12074.46,0x702A7BD9,CSA5
17:26:23.769,UP,49,001,898,1211,,,,0x3125DF82,CSA5
17:26:23.769,DOWN,49,001,895,1766,-3,555,-12093.46,0x7137337F,CSA5
17:26:23.769,UP,50,001,808,1526,,,,0x322FB728,CSA5
17:26:23.769,DOWN,50,001,805,2082,-3,556,-12094.46,0x72411325,CSA5
17:26:23.769,UP,51,001,718,1930,,,,0x333C56CE,CSA5
17:26:23.769,DOWN,51,001,715,2495,-3,565,-12103.46,0x734DFACB,CSA5
17:26:23.769,UP,52,001,628,2332,,,,0x3448E674,CSA5
17:26:23.769,DOWN,52,001,625,2897,-3,565,-12103.46,0x745A8A71,CSA5
17:26:23.769,UP,53,001,538,2741,,,,0x3555AE1A,CSA5
17:26:23.769,DOWN,53,001,535,3299,-3,558,-12096.46,0x75671A17,CSA5
17:26:23.769,UP,54,001,448,3149,,,,0x36626DC0,CSA5
17:26:23.769,DOWN,54,001,445,3723,-3,574,-12112.46,0x767459BD,CSA5
17:26:23.769,UP,55,001,358,3495,,,,0x376D3D66,CSA5
17:26:23.769,DOWN,55,001,354,202,-4,-3293,-12091.62,0x77065162,CSA5
17:26:23.769,UP,56,001,267,69,,,,0x38022D0B,CSA5
17:26:23.769,DOWN,56,001,264,638,-3,569,-12107.46,0x7813F108,CSA5
17:26:23.769,UP,57,001,177,383,,,,0x390BFCB1,CSA5
17:26:23.769,DOWN,57,001,174,947,-3,564,-12102.46,0x791D98AE,CSA5
