Time,Ch,ID,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex
21:26:56.895,UP,229,92,2456,,,,0x3953315C
21:26:56.895,DOWN,229,111,1746,19,-710,73410.27,0x794DA46F
21:26:56.895,UP,230,2,2925,,,,0x3996DB02
21:26:56.895,DOWN,230,21,2178,19,-747,73427.64,0x79910415
21:26:56.895,UP,231,168,3357,,,,0x39DA3BA8
21:26:56.895,DOWN,231,187,2593,19,-764,73435.62,0x79D442BB
21:26:56.947,UP,232,78,3673,,,,0x3A1CB34E
21:26:56.947,DOWN,232,97,2937,19,-736,73422.48,0x7A16F261
21:26:56.947,UP,233,243,200,,,,0x3A4191F3
21:26:56.947,DOWN,233,7,3302,20,3102,75466.68,0x7A59CC07
21:26:56.947,UP,234,153,512,,,,0x3A840199
21:26:56.947,DOWN,234,173,3619,20,3107,75464.34,0x7A9C46AD
21:26:56.947,UP,235,63,974,,,,0x3AC79D3F
21:26:56.947,DOWN,235,82,214,19,-760,73433.74,0x7AC1AC52
21:26:56.947,UP,236,229,1383,,,,0x3B0ACFE5
21:26:56.947,DOWN,236,248,638,19,-745,73426.70,0x7B04FCF8
21:26:56.947,UP,237,139,1714,,,,0x3B4D658B
21:26:56.947,DOWN,237,158,968,19,-746,73427.17,0x7B47909E
21:26:56.947,UP,238,49,2174,,,,0x3B90FD31
21:26:56.947,DOWN,238,68,1410,19,-764,73435.62,0x7B8B0444
21:26:56.947,UP,239,215,2539,,,,0x3BD3D7D7
21:26:56.947,DOWN,239,234,1814,19,-725,73417.31,0x7BCE2CEA
21:26:56.948,UP,240,125,2925,,,,0x3C16DB7D
21:26:56.948,DOWN,240,144,2161,19,-764,73435.62,0x7C10E290
21:26:56.948,UP,241,35,3273,,,,0x3C599323
21:26:56.948,DOWN,241,54,2556,19,-717,73413.56,0x7C53F836
21:26:56.948,UP,242,201,3709,,,,0x3C9CFBC9
21:26:56.948,DOWN,242,220,2957,19,-752,73429.99,0x7C971ADC
21:26:56.948,UP,243,110,181,,,,0x3CC16B6E
21:26:56.948,DOWN,243,130,3278,20,3097,75469.03,0x7CD99C82
21:26:56.948,UP,244,20,624,,,,0x3D04E114
21:26:56.948,DOWN,244,40,3744,20,3120,75458.23,0x7D1D4028
21:26:56.948,UP,245,186,957,,,,0x3D477BBA
21:26:56.948,DOWN,245,205,227,19,-730,73419.66,0x7D41C6CD
21:26:56.948,UP,246,96,1383,,,,0x3D8ACF60
21:26:56.948,DOWN,246,115,638,19,-745,73426.70,0x7D84FC73
21:26:56.948,UP,247,6,1733,,,,0x3DCD8B06
21:26:56.948,DOWN,247,25,968,19,-765,73436.09,0x7DC79019
21:26:56.948,UP,248,172,2160,,,,0x3E10E1AC
21:26:56.948,DOWN,248,191,1445,19,-715,73412.62,0x7E0B4ABF
21:26:56.948,UP,249,82,2586,,,,0x3E543552
21:26:56.948,DOWN,249,101,1827,19,-759,73433.27,0x7E4E4665
21:26:56.948,UP,250,248,2906,,,,0x3E96B5F8
21:26:56.948,DOWN,250,11,2161,19,-745,73426.70,0x7E90E20B
21:26:56.948,UP,251,158,3273,,,,0x3ED9939E
21:26:56.948,DOWN,251,177,2534,19,-739,73423.88,0x7ED3CCB1
21:26:56.948,UP,252,68,3673,,,,0x3F1CB344
21:26:56.948,DOWN,252,87,2915,19,-758,73432.80,0x7F16C657
21:26:56.948,UP,253,233,186,,,,0x3F4175E9
21:26:56.948,DOWN,253,253,3302,20,3116,75460.11,0x7F59CCFD
21:26:56.948,UP,254,143,604,,,,0x3F84B98F
21:26:56.948,DOWN,254,163,3707,20,3103,75466.21,0x7F9CF6A3
21:26:56.948,UP,255,53,1007,,,,0x3FC7DF35
21:26:56.948,DOWN,255,72,260,19,-747,73427.64,0x7FC20848
21:26:56.948,UP,0,219,1383,,,,0x000ACFDB
21:26:56.948,DOWN,0,238,638,19,-745,73426.70,0x4004FCEE
21:26:56.948,UP,1,129,1714,,,,0x004D6581
21:26:56.948,DOWN,1,148,951,19,-763,73435.15,0x40476E94
21:26:56.948,UP,2,39,2131,,,,0x0090A727
21:26:56.948,DOWN,2,58,1377,19,-754,73430.93,0x408AC23A
21:26:56.948,UP,3,205,2554,,,,0x00D3F5CD
21:26:56.948,DOWN,3,224,1814,19,-740,73424.35,0x40CE2CE0
21:26:56.948,UP,4,115,2906,,,,0x0116B573
21:26:56.948,DOWN,4,134,2161,19,-745,73426.70,0x4110E286
21:26:56.949,UP,5,25,3330,,,,0x015A0519
21:26:56.949,DOWN,5,44,2577,19,-753,73430.46,0x4154222C
21:26:56.949,UP,6,191,3695,,,,0x019CDFBF
21:26:56.949,DOWN,6,210,2971,19,-724,73416.84,0x419736D2
21:26:56.949,UP,7,100,223,,,,0x01C1BF64
21:26:56.949,DOWN,7,120,3338,20,3115,75460.58,0x41DA1478
21:26:56.949,UP,8,10,568,,,,0x0204710A
21:26:56.949,DOWN,8,30,3686,20,3118,75459.17,0x421CCC1E
21:26:56.949,UP,9,176,938,,,,0x024755B0
21:26:56.949,DOWN,9,195,187,19,-751,73429.52,0x424176C3
21:26:56.949,UP,10,86,1383,,,,0x028ACF56
21:26:56.949,DOWN,10,105,638,19,-745,73426.70,0x4284FC69
21:26:56.949,UP,11,252,1733,,,,0x02CD8BFC
21:26:56.949,DOWN,11,15,1007,19,-726,73417.78,0x42C7DE0F
21:26:56.949,UP,12,162,2145,,,,0x0310C3A2
21:26:56.949,DOWN,12,181,1394,19,-751,73429.52,0x430AE4B5
21:26:56.949,UP,13,72,2510,,,,0x03539D48
21:26:56.949,DOWN,13,91,1766,19,-744,73426.23,0x434DCC5B
21:26:56.949,UP,14,238,2925,,,,0x0396DBEE
21:26:56.949,DOWN,14,1,2161,19,-764,73435.62,0x4390E201
21:26:56.949,UP,15,148,3330,,,,0x03DA0594
21:26:56.949,DOWN,15,167,2577,19,-753,73430.46,0x43D422A7
21:26:56.949,UP,16,58,3673,,,,0x041CB33A
21:26:56.949,DOWN,16,77,2915,19,-758,73432.80,0x4416C64D
21:26:56.949,UP,17,223,200,,,,0x044191DF
21:26:56.949,DOWN,17,243,3313,20,3113,75461.52,0x4459E2F3
21:26:56.949,UP,18,133,568,,,,0x04847185
21:26:56.949,DOWN,18,153,3655,20,3087,75473.73,0x449C8E99
21:26:56.949,UP,19,43,974,,,,0x04C79D2B
21:26:56.949,DOWN,19,62,227,19,-747,73427.64,0x44C1C63E
21:26:56.949,UP,20,209,1366,,,,0x050AADD1
21:26:56.949,DOWN,20,228,638,19,-728,73418.72,0x4504FCE4
21:26:56.949,UP,21,119,1774,,,,0x054DDD77
21:26:56.949,DOWN,21,138,1007,19,-767,73437.03,0x4547DE8A
21:26:56.949,UP,22,29,2131,,,,0x0590A71D
21:26:56.949,DOWN,22,48,1377,19,-754,73430.93,0x458AC230
21:26:56.949,UP,23,195,2456,,,,0x05D331C3
21:26:56.950,DOWN,23,214,1708,19,-748,73428.11,0x45CD58D6
21:26:56.950,UP,24,105,2925,,,,0x0616DB69
21:26:56.950,DOWN,24,124,2161,19,-764,73435.62,0x4610E27C
21:26:56.950,UP,25,15,3288,,,,0x0659B10F
21:26:56.950,DOWN,25,34,2534,19,-754,73430.93,0x4653CC22
21:26:56.999,UP,26,181,3657,,,,0x069C93B5
21:26:57.000,DOWN,26,200,2927,19,-730,73419.66,0x4696DEC8
21:26:57.000,UP,27,90,239,,,,0x06C1DF5A
21:26:57.000,DOWN,27,110,3362,20,3123,75456.82,0x46DA446E
21:26:57.000,UP,28,0,586,,,,0x07049500
21:26:57.000,DOWN,28,20,3695,20,3109,75463.40,0x471CDE14
21:26:57.000,UP,29,166,974,,,,0x07479DA6
21:26:57.000,DOWN,29,185,214,19,-760,73433.74,0x4741ACB9
21:26:57.000,UP,30,76,1344,,,,0x078A814C
21:26:57.000,DOWN,30,95,604,19,-740,73424.35,0x4784B85F
21:26:57.000,UP,31,242,1788,,,,0x07CDF9F2
21:26:57.000,DOWN,31,5,1027,19,-761,73434.21,0x47C80605
