Time,Ch,ID,Coarse,Fine,CoarseDiff,Delta_ps,RawHex
20:49:22.750,UP,0,201,1789,,,0x000DFBC9
20:49:22.750,DOWN,0,220,1066,19,73416.37,0x400854DC
20:49:22.750,UP,1,111,2103,,,0x00506F6F
20:49:22.750,DOWN,1,130,1396,19,73408.86,0x404AE882
20:49:22.750,UP,2,21,2553,,,0x0093F315
20:49:22.750,DOWN,2,40,1800,19,73430.46,0x408E1028
20:49:22.750,UP,3,187,2926,,,0x00D6DDBB
20:49:22.750,DOWN,3,206,2204,19,73415.90,0x40D138CE
20:49:22.750,UP,4,97,3341,,,0x011A1B61
20:49:22.750,DOWN,4,116,2592,19,73428.58,0x41144074
20:49:22.750,UP,5,7,3687,,,0x015CCF07
20:49:22.750,DOWN,5,26,2957,19,73419.66,0x41571A1A
20:49:22.750,UP,6,172,187,,,0x018177AC
20:49:22.750,DOWN,6,192,3325,20,75449.78,0x4199FAC0
20:49:22.750,UP,7,82,606,,,0x01C4BD52
20:49:22.750,DOWN,7,102,3744,20,75449.78,0x41DD4066
20:49:22.750,UP,8,248,940,,,0x020759F8
20:49:22.750,DOWN,8,11,244,19,73403.70,0x4201E80B
20:49:22.750,UP,9,158,1356,,,0x024A999E
20:49:22.750,DOWN,9,177,619,19,73422.95,0x4244D6B1
20:49:22.750,UP,10,68,1764,,,0x028DC944
20:49:22.750,DOWN,10,87,1055,19,73409.80,0x42883E57
20:49:22.750,UP,11,234,2174,,,0x02D0FDEA
20:49:22.750,DOWN,11,253,1446,19,73418.72,0x42CB4CFD
20:49:22.750,UP,12,144,2539,,,0x0313D790
20:49:22.750,DOWN,12,163,1800,19,73423.88,0x430E10A3
20:49:22.750,UP,13,54,2907,,,0x0356B736
20:49:22.750,DOWN,13,73,2189,19,73414.02,0x43511A49
20:49:22.750,UP,14,220,3252,,,0x039969DC
20:49:22.750,DOWN,14,239,2555,19,73404.17,0x4393F6EF
20:49:22.750,UP,15,130,3674,,,0x03DCB582
20:49:22.750,DOWN,15,149,2957,19,73413.56,0x43D71A95
20:49:22.750,UP,16,39,182,,,0x04016D27
20:49:22.750,DOWN,16,59,3325,20,75447.43,0x4419FA3B
20:49:22.750,UP,17,205,606,,,0x0444BDCD
20:49:22.750,DOWN,17,225,3744,20,75449.78,0x445D40E1
20:49:22.750,UP,18,115,1027,,,0x04880773
20:49:22.750,DOWN,18,134,292,19,73422.01,0x44824886
20:49:22.750,UP,19,25,1346,,,0x04CA8519
20:49:22.750,DOWN,19,44,638,19,73409.33,0x44C4FC2C
20:49:22.750,UP,20,191,1764,,,0x050DC9BF
20:49:22.751,DOWN,20,210,1028,19,73422.48,0x450808D2
20:49:22.751,UP,21,101,2160,,,0x0550E165
20:49:22.751,DOWN,21,120,1411,19,73428.58,0x454B0678
20:49:22.752,UP,22,11,2487,,,0x05936F0B
20:49:22.752,DOWN,22,30,1747,19,73424.35,0x458DA61E
20:49:22.752,UP,23,177,2926,,,0x05D6DDB1
20:49:22.752,DOWN,23,196,2204,19,73415.90,0x45D138C4
20:49:22.752,UP,24,87,3331,,,0x061A0757
20:49:22.752,DOWN,24,106,2592,19,73423.88,0x4614406A
20:49:22.752,UP,25,253,3674,,,0x065CB5FD
20:49:22.752,DOWN,25,16,2938,19,73422.48,0x4656F410
20:49:22.752,UP,26,162,182,,,0x06816DA2
20:49:22.752,DOWN,26,182,3314,20,75452.60,0x4699E4B6
20:49:22.752,UP,27,72,587,,,0x06C49748
20:49:22.752,DOWN,27,92,3728,20,75448.37,0x46DD205C
20:49:22.752,UP,28,238,996,,,0x0707C9EE
20:49:22.752,DOWN,28,1,277,19,73414.49,0x47022A01
20:49:22.752,UP,29,148,1384,,,0x074AD194
20:49:22.752,DOWN,29,167,691,19,73402.29,0x474566A7
20:49:22.752,UP,30,58,1789,,,0x078DFB3A
20:49:22.752,DOWN,30,77,1055,19,73421.54,0x47883E4D
20:49:22.752,UP,31,224,2131,,,0x07D0A7E0
20:49:22.752,DOWN,31,243,1396,19,73422.01,0x47CAE8F3
20:49:22.752,UP,32,134,2522,,,0x0813B586
20:49:22.752,DOWN,32,153,1800,19,73415.90,0x480E1099
20:49:22.752,UP,33,44,2870,,,0x08566D2C
20:49:22.752,DOWN,33,63,2161,19,73409.80,0x4850E23F
20:49:22.752,UP,34,210,3331,,,0x089A07D2
20:49:22.752,DOWN,34,229,2606,19,73417.31,0x48945CE5
20:49:22.752,UP,35,120,3697,,,0x08DCE378
20:49:22.752,DOWN,35,139,2972,19,73417.31,0x48D7388B
20:49:22.752,UP,36,29,239,,,0x0901DF1D
20:49:22.752,DOWN,36,49,3362,20,75456.82,0x491A4431
20:49:22.752,UP,37,195,555,,,0x094457C3
20:49:22.752,DOWN,37,215,3685,20,75453.54,0x495CCAD7
20:49:22.752,UP,38,105,1008,,,0x0987E169
20:49:22.752,DOWN,38,124,260,19,73428.11,0x4982087C
20:49:22.752,UP,39,15,1367,,,0x09CAAF0F
20:49:22.752,DOWN,39,34,619,19,73428.11,0x49C4D622
20:49:22.752,UP,40,181,1814,,,0x0A0E2DB5
20:49:22.752,DOWN,40,200,1094,19,73414.96,0x4A088CC8
20:49:22.752,UP,41,91,2186,,,0x0A51155B
20:49:22.752,DOWN,41,110,1464,19,73415.90,0x4A4B706E
20:49:22.752,UP,42,1,2539,,,0x0A93D701
20:49:22.752,DOWN,42,20,1813,19,73417.78,0x4A8E2A14
20:49:22.752,UP,43,167,2907,,,0x0AD6B7A7
20:49:22.752,DOWN,43,186,2171,19,73422.48,0x4AD0F6BA
20:49:22.752,UP,44,77,3289,,,0x0B19B34D
20:49:22.752,DOWN,44,96,2555,19,73421.54,0x4B13F660
20:49:22.752,UP,45,243,3674,,,0x0B5CB5F3
20:49:22.752,DOWN,45,6,2957,19,73413.56,0x4B571A06
20:49:22.752,UP,46,152,239,,,0x0B81DF98
20:49:22.752,DOWN,46,172,3397,20,75440.39,0x4B9A8AAC
20:49:22.752,UP,47,62,587,,,0x0BC4973E
20:49:22.752,DOWN,47,82,3744,20,75440.86,0x4BDD4052
20:49:22.752,UP,48,228,996,,,0x0C07C9E4
20:49:22.752,DOWN,48,247,260,19,73422.48,0x4C0208F7
20:49:22.752,UP,49,138,1367,,,0x0C4AAF8A
20:49:22.752,DOWN,49,157,666,19,73406.04,0x4C45349D
20:49:22.811,UP,50,48,1775,,,0x0C8DDF30
20:49:22.812,DOWN,50,67,1028,19,73427.64,0x4C880843
20:49:22.812,UP,51,214,2174,,,0x0CD0FDD6
20:49:22.812,DOWN,51,233,1464,19,73410.27,0x4CCB70E9
20:49:22.812,UP,52,124,2539,,,0x0D13D77C
20:49:22.812,DOWN,52,143,1827,19,73411.21,0x4D0E468F
20:49:22.812,UP,53,34,2916,,,0x0D56C922
20:49:22.812,DOWN,53,53,2189,19,73418.25,0x4D511A35
20:49:22.812,UP,54,200,3289,,,0x0D99B3C8
20:49:22.812,DOWN,54,219,2576,19,73411.68,0x4D9420DB
20:49:22.812,UP,55,110,3733,,,0x0DDD2B6E
20:49:22.812,DOWN,55,129,2985,19,73428.11,0x4DD75281
20:49:22.812,UP,56,19,182,,,0x0E016D13
20:49:22.812,DOWN,56,39,3314,20,75452.60,0x4E19E427
20:49:22.812,UP,57,185,587,,,0x0E4497B9
20:49:22.812,DOWN,57,205,3744,20,75440.86,0x4E5D40CD
20:49:22.812,UP,58,95,1008,,,0x0E87E15F
20:49:22.812,DOWN,58,114,292,19,73413.09,0x4E824872
20:49:22.812,UP,59,5,1346,,,0x0ECA8505
20:49:22.812,DOWN,59,24,590,19,73431.87,0x4EC49C18
20:49:22.812,UP,60,171,1750,,,0x0F0DADAB
20:49:22.812,DOWN,60,190,1028,19,73415.90,0x4F0808BE
20:49:22.812,UP,61,81,2160,,,0x0F50E151
20:49:22.812,DOWN,61,100,1431,19,73419.19,0x4F4B2E64
20:49:22.812,UP,62,247,2567,,,0x0F940FF7
20:49:22.812,DOWN,62,10,1827,19,73424.35,0x4F8E460A
20:49:22.812,UP,63,157,2926,,,0x0FD6DD9D
20:49:22.812,DOWN,63,176,2189,19,73422.95,0x4FD11AB0
20:49:22.812,UP,64,67,3289,,,0x1019B343
20:49:22.812,DOWN,64,86,2542,19,73427.64,0x5013DC56
20:49:22.812,UP,65,233,3711,,,0x105CFFE9
20:49:22.812,DOWN,65,252,2972,19,73423.88,0x505738FC
20:49:22.812,UP,66,142,174,,,0x10815D8E
20:49:22.812,DOWN,66,162,3302,20,75454.48,0x5099CCA2
20:49:22.812,UP,67,52,641,,,0x10C50334
20:49:22.812,DOWN,67,72,3779,20,75449.78,0x50DD8648
20:49:22.812,UP,68,218,996,,,0x1107C9DA
20:49:22.812,DOWN,68,237,260,19,73422.48,0x510208ED
20:49:22.812,UP,69,128,1401,,,0x114AF380
20:49:22.812,DOWN,69,147,652,19,73428.58,0x51451893
20:49:22.812,UP,70,38,1733,,,0x118D8B26
20:49:22.812,DOWN,70,57,1007,19,73417.78,0x5187DE39
20:49:22.812,UP,71,204,2160,,,0x11D0E1CC
20:49:22.812,DOWN,71,223,1446,19,73412.15,0x51CB4CDF
20:49:22.812,UP,72,114,2539,,,0x1213D772
20:49:22.812,DOWN,72,133,1813,19,73417.78,0x520E2A85
20:49:22.812,UP,73,24,2953,,,0x12571318
