Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
17:32:08.335,UP,44,101,294,975,,,,0x2C1E7D26,CSA3
17:32:08.335,DOWN,44,101,291,1236,-3,261,-11799.46,0x6C26A123,CSA3
17:32:08.335,UP,45,101,204,1303,,,,0x2D28BCCC,CSA3
17:32:08.335,DOWN,45,101,201,1543,-3,240,-11778.46,0x6D3038C9,CSA3
17:32:08.335,UP,46,101,114,1709,,,,0x2E356C72,CSA3
17:32:08.335,DOWN,46,101,111,1953,-3,244,-11782.46,0x6E3D086F,CSA3
17:32:08.335,UP,47,101,24,2105,,,,0x2F41CC18,CSA3
17:32:08.335,DOWN,47,101,21,2382,-3,277,-11815.46,0x6F4A7015,CSA3
17:32:08.335,UP,48,101,958,2498,,,,0x304E17BE,CSA3
17:32:08.335,DOWN,48,101,955,2737,-3,239,-11777.46,0x70558BBB,CSA3
17:32:08.335,UP,49,101,868,2805,,,,0x3157AF64,CSA3
17:32:08.335,DOWN,49,101,865,3071,-3,266,-11804.46,0x715FFB61,CSA3
17:32:08.335,UP,50,101,778,3212,,,,0x3264670A,CSA3
17:32:08.335,DOWN,50,101,775,3464,-3,252,-11790.46,0x726C4307,CSA3
17:32:08.335,UP,51,101,688,3602,,,,0x337096B0,CSA3
17:32:08.335,DOWN,51,101,684,28,-4,-3574,-11810.62,0x7300E2AC,CSA3
17:32:08.335,UP,52,101,597,164,,,,0x34052655,CSA3
17:32:08.335,DOWN,52,101,594,444,-3,280,-11818.46,0x740DE252,CSA3
17:32:08.335,UP,53,101,507,514,,,,0x351015FB,CSA3
17:32:08.335,DOWN,53,101,504,786,-3,272,-11810.46,0x751891F8,CSA3
17:32:08.335,UP,54,101,417,941,,,,0x361D6DA1,CSA3
17:32:08.335,DOWN,54,101,414,1193,-3,252,-11790.46,0x7625499E,CSA3
17:32:08.335,UP,55,101,327,1318,,,,0x37293547,CSA3
17:32:08.335,DOWN,55,101,324,1581,-3,263,-11801.46,0x77316944,CSA3
17:32:08.335,UP,56,101,237,1690,,,,0x3834D4ED,CSA3
17:32:08.335,DOWN,56,101,234,1940,-3,250,-11788.46,0x783CA0EA,CSA3
17:32:08.335,UP,57,101,147,2121,,,,0x39424C93,CSA3
17:32:08.335,DOWN,57,101,144,2382,-3,261,-11799.46,0x794A7090,CSA3
17:32:08.335,UP,58,101,57,2446,,,,0x3A4C7439,CSA3
