Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:09:38.511,UP,12,111,565,1949,,,,0x0C3CEE35,CSA0
15:09:38.511,DOWN,12,111,586,794,21,-1155,81924.23,0x4C18D24A,CSA0
15:09:38.511,UP,13,111,475,2359,,,,0x0D49BDDB,CSA0
15:09:38.511,DOWN,13,111,496,1227,21,-1132,81901.23,0x4D2659F0,CSA0
15:09:38.511,UP,14,111,385,2788,,,,0x0E572581,CSA0
15:09:38.511,DOWN,14,111,406,1649,21,-1139,81908.23,0x4E338996,CSA0
15:09:38.511,UP,15,111,295,3148,,,,0x0F626527,CSA0
15:09:38.511,DOWN,15,111,316,1997,21,-1151,81920.23,0x4F3E693C,CSA0
15:09:38.511,UP,16,111,205,3561,,,,0x106F4CCD,CSA0
15:09:38.511,DOWN,16,111,226,2400,21,-1161,81930.23,0x504B00E2,CSA0
15:09:38.511,UP,17,111,114,35,,,,0x11011C72,CSA0
15:09:38.511,DOWN,17,111,136,2756,22,2721,81894.38,0x51562088,CSA0
15:09:38.511,UP,18,111,24,466,,,,0x120E9418,CSA0
15:09:38.511,DOWN,18,111,46,3172,22,2706,81909.38,0x5263202E,CSA0
15:09:38.511,UP,19,111,958,784,,,,0x131887BE,CSA0
15:09:38.511,DOWN,19,111,980,3513,22,2729,81886.38,0x536DCBD4,CSA0
15:09:38.511,UP,20,111,868,1175,,,,0x1424BF64,CSA0
15:09:38.511,DOWN,20,111,889,8,21,-1167,81936.23,0x54004379,CSA0
15:09:38.511,UP,21,111,778,1581,,,,0x15316F0A,CSA0
15:09:38.511,DOWN,21,111,799,412,21,-1169,81938.23,0x550CE31F,CSA0
15:09:38.511,UP,22,111,688,1961,,,,0x163D4EB0,CSA0
15:09:38.511,DOWN,22,111,709,829,21,-1132,81901.23,0x5619EAC5,CSA0
15:09:38.511,UP,23,111,598,2351,,,,0x17497E56,CSA0
15:09:38.511,DOWN,23,111,619,1192,21,-1159,81928.23,0x5725426B,CSA0
15:09:38.511,UP,24,111,508,2745,,,,0x1855CDFC,CSA0
15:09:38.511,DOWN,24,111,529,1614,21,-1131,81900.23,0x58327211,CSA0
15:09:38.511,UP,25,111,418,3148,,,,0x196265A2,CSA0
15:09:38.511,DOWN,25,111,439,2009,21,-1139,81908.23,0x593EC9B7,CSA0
15:09:38.511,UP,26,111,328,3489,,,,0x1A6D0D48,CSA0
15:09:38.511,DOWN,26,111,349,2359,21,-1130,81899.23,0x5A49B95D,CSA0
15:09:38.511,UP,27,111,237,35,,,,0x1B011CED,CSA0
15:09:38.511,DOWN,27,111,259,2756,22,2721,81894.38,0x5B562103,CSA0
15:09:38.511,UP,28,111,147,403,,,,0x1C0C9C93,CSA0
15:09:38.511,DOWN,28,111,169,3089,22,2686,81929.38,0x5C6088A9,CSA0
15:09:38.511,UP,29,111,57,784,,,,0x1D188439,CSA0
15:09:38.511,DOWN,29,111,79,3499,22,2715,81900.38,0x5D6D584F,CSA0
15:09:38.511,UP,30,111,991,1195,,,,0x1E255FDF,CSA0
15:09:38.511,DOWN,30,111,1012,27,21,-1168,81937.23,0x5E00DBF4,CSA0
15:09:38.511,UP,31,111,901,1610,,,,0x1F325785,CSA0
15:09:38.511,DOWN,31,111,922,445,21,-1165,81934.23,0x5F0DEB9A,CSA0
15:09:38.511,UP,32,111,811,1988,,,,0x203E272B,CSA0
15:09:38.511,DOWN,32,111,832,829,21,-1159,81928.23,0x6019EB40,CSA0
15:09:38.511,UP,33,111,721,2378,,,,0x214A56D1,CSA0
15:09:38.511,DOWN,33,111,742,1203,21,-1175,81944.23,0x61259AE6,CSA0
15:09:38.511,UP,34,111,631,2745,,,,0x2255CE77,CSA0
15:09:38.511,DOWN,34,111,652,1614,21,-1131,81900.23,0x6232728C,CSA0
15:09:38.511,UP,35,111,541,3133,,,,0x2361EE1D,CSA0
15:09:38.511,DOWN,35,111,562,2009,21,-1124,81893.23,0x633ECA32,CSA0
15:09:38.511,UP,36,111,451,3515,,,,0x246DDDC3,CSA0
15:09:38.511,DOWN,36,111,472,2374,21,-1141,81910.23,0x644A31D8,CSA0
15:09:38.511,UP,37,111,360,35,,,,0x25011D68,CSA0
15:09:38.511,DOWN,37,111,382,2756,22,2721,81894.38,0x6556217E,CSA0
15:09:38.511,UP,38,111,270,419,,,,0x260D1D0E,CSA0
15:09:38.511,DOWN,38,111,292,3134,22,2715,81900.38,0x6661F124,CSA0
15:09:38.511,UP,39,111,180,820,,,,0x2719A4B4,CSA0
15:09:38.511,DOWN,39,111,202,3527,22,2707,81908.38,0x676E38CA,CSA0
15:09:38.511,UP,40,111,90,1195,,,,0x28255C5A,CSA0
15:09:38.511,DOWN,40,111,111,27,21,-1168,81937.23,0x6800D86F,CSA0
15:09:38.511,UP,41,111,0,1620,,,,0x2932A400,CSA0
15:09:38.511,DOWN,41,111,21,480,21,-1140,81909.23,0x690F0015,CSA0
15:09:38.511,UP,42,111,934,1961,,,,0x2A3D4FA6,CSA0
15:09:38.511,DOWN,42,111,955,829,21,-1132,81901.23,0x6A19EBBB,CSA0
15:09:38.511,UP,43,111,844,2338,,,,0x2B49174C,CSA0
15:09:38.511,DOWN,43,111,865,1178,21,-1160,81929.23,0x6B24D361,CSA0
15:09:38.511,UP,44,111,754,2745,,,,0x2C55CEF2,CSA0
15:09:38.511,DOWN,44,111,775,1614,21,-1131,81900.23,0x6C327307,CSA0
15:09:38.511,UP,45,111,664,3108,,,,0x2D612698,CSA0
15:09:38.511,DOWN,45,111,685,1956,21,-1152,81921.23,0x6D3D22AD,CSA0
15:09:38.511,UP,46,111,574,3515,,,,0x2E6DDE3E,CSA0
15:09:38.511,DOWN,46,111,595,2374,21,-1141,81910.23,0x6E4A3253,CSA0
15:09:38.511,UP,47,111,483,17,,,,0x2F008DE3,CSA0
15:09:38.511,DOWN,47,111,505,2725,22,2708,81907.38,0x6F5529F9,CSA0
15:09:38.511,UP,48,111,393,403,,,,0x300C9D89,CSA0
15:09:38.511,DOWN,48,111,415,3127,22,2724,81891.38,0x7061B99F,CSA0
15:09:38.511,UP,49,111,303,768,,,,0x3118052F,CSA0
15:09:38.511,DOWN,49,111,325,3499,22,2731,81884.38,0x716D5945,CSA0
15:09:38.511,UP,50,111,213,1207,,,,0x3225BCD5,CSA0
15:09:38.511,DOWN,50,111,234,27,21,-1180,81949.23,0x7200D8EA,CSA0
15:09:38.511,UP,51,111,123,1620,,,,0x3332A47B,CSA0
15:09:38.511,DOWN,51,111,144,429,21,-1191,81960.23,0x730D6890,CSA0
15:09:38.511,UP,52,111,33,1934,,,,0x343C7421,CSA0
15:09:38.511,DOWN,52,111,54,794,21,-1140,81909.23,0x7418D036,CSA0
15:09:38.511,UP,53,111,967,2378,,,,0x354A57C7,CSA0
15:09:38.511,DOWN,53,111,988,1217,21,-1161,81930.23,0x75260BDC,CSA0
15:09:38.511,UP,54,111,877,2729,,,,0x36554F6D,CSA0
15:09:38.511,DOWN,54,111,898,1555,21,-1174,81943.23,0x76309B82,CSA0
15:09:38.511,UP,55,111,787,3133,,,,0x3761EF13,CSA0
15:09:38.511,DOWN,55,111,808,1969,21,-1164,81933.23,0x773D8B28,CSA0
15:09:38.511,UP,56,111,697,3489,,,,0x386D0EB9,CSA0
15:09:38.511,DOWN,56,111,718,2345,21,-1144,81913.23,0x78494ACE,CSA0
15:09:38.511,UP,57,111,607,3851,,,,0x39785E5F,CSA0
15:09:38.511,DOWN,57,111,628,2725,21,-1126,81895.23,0x79552A74,CSA0
15:09:38.511,UP,58,111,516,450,,,,0x3A0E1604,CSA0
15:09:38.511,DOWN,58,111,538,3144,22,2694,81921.38,0x7A62421A,CSA0
15:09:38.511,UP,59,111,426,820,,,,0x3B19A5AA,CSA0
15:09:38.511,DOWN,59,111,448,3558,22,2738,81877.38,0x7B6F31C0,CSA0
15:09:38.570,UP,60,111,336,1223,,,,0x3C263D50,CSA0
15:09:38.570,DOWN,60,111,357,58,21,-1165,81934.23,0x7C01D165,CSA0
15:09:38.570,UP,61,111,246,1595,,,,0x3D31DCF6,CSA0
15:09:38.570,DOWN,61,111,267,429,21,-1166,81935.23,0x7D0D690B,CSA0
15:09:38.570,UP,62,111,156,1978,,,,0x3E3DD49C,CSA0
15:09:38.570,DOWN,62,111,177,829,21,-1149,81918.23,0x7E19E8B1,CSA0
15:09:38.570,UP,63,111,66,2378,,,,0x3F4A5442,CSA0
15:09:38.570,DOWN,63,111,87,1234,21,-1144,81913.23,0x7F269057,CSA0
15:09:38.570,UP,0,111,1000,2772,,,,0x0056A7E8,CSA0
15:09:38.571,DOWN,0,111,1021,1633,21,-1139,81908.23,0x40330BFD,CSA0
15:09:38.571,UP,1,111,910,3108,,,,0x0161278E,CSA0
