Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:06:16.114,UP,12,010,467,2907,,,,0x0C5ADDD3,CSA0
15:06:16.114,DOWN,12,010,474,3219,7,312,26611.08,0x4C6499DA,CSA0
15:06:16.114,UP,13,010,377,3335,,,,0x0D683D79,CSA0
15:06:16.114,DOWN,13,010,384,3643,7,308,26615.08,0x4D71D980,CSA0
15:06:16.114,UP,14,010,287,3674,,,,0x0E72D51F,CSA0
15:06:16.114,DOWN,14,010,293,94,6,-3580,26656.92,0x4E02F125,CSA0
15:06:16.114,UP,15,010,196,245,,,,0x0F07ACC4,CSA0
15:06:16.114,DOWN,15,010,203,546,7,301,26622.08,0x4F1110CB,CSA0
15:06:16.114,UP,16,010,106,648,,,,0x1014446A,CSA0
15:06:16.114,DOWN,16,010,113,939,7,291,26632.08,0x501D5871,CSA0
15:06:16.114,UP,17,010,16,1028,,,,0x11202410,CSA0
15:06:16.114,DOWN,17,010,23,1318,7,290,26633.08,0x51293017,CSA0
15:06:16.114,UP,18,010,950,1396,,,,0x122BA7B6,CSA0
15:06:16.114,DOWN,18,010,957,1691,7,295,26628.08,0x5234DBBD,CSA0
15:06:16.114,UP,19,010,860,1787,,,,0x1337DF5C,CSA0
15:06:16.114,DOWN,19,010,867,2080,7,293,26630.08,0x53410363,CSA0
15:06:16.114,UP,20,010,770,2141,,,,0x1442EF02,CSA0
15:06:16.114,DOWN,20,010,777,2435,7,294,26629.08,0x544C1B09,CSA0
15:06:16.114,UP,21,010,680,2517,,,,0x154EAEA8,CSA0
15:06:16.114,DOWN,21,010,687,2806,7,289,26634.08,0x5557B2AF,CSA0
15:06:16.114,UP,22,010,590,2942,,,,0x165BF64E,CSA0
15:06:16.114,DOWN,22,010,597,3219,7,277,26646.08,0x56649A55,CSA0
15:06:16.114,UP,23,010,500,3294,,,,0x1766F5F4,CSA0
15:06:16.114,DOWN,23,010,507,3606,7,312,26611.08,0x5770B1FB,CSA0
15:06:16.114,UP,24,010,410,3711,,,,0x1873FD9A,CSA0
15:06:16.114,DOWN,24,010,416,109,6,-3602,26678.92,0x580369A0,CSA0
15:06:16.114,UP,25,010,319,207,,,,0x19067D3F,CSA0
15:06:16.114,DOWN,25,010,326,497,7,290,26633.08,0x590F8946,CSA0
15:06:16.114,UP,26,010,229,614,,,,0x1A1334E5,CSA0
15:06:16.114,DOWN,26,010,236,904,7,290,26633.08,0x5A1C40EC,CSA0
15:06:16.114,UP,27,010,139,1007,,,,0x1B1F7C8B,CSA0
15:06:16.114,DOWN,27,010,146,1318,7,311,26612.08,0x5B293092,CSA0
15:06:16.114,UP,28,010,49,1427,,,,0x1C2C9C31,CSA0
15:06:16.114,DOWN,28,010,56,1714,7,287,26636.08,0x5C359038,CSA0
15:06:16.114,UP,29,010,983,1787,,,,0x1D37DFD7,CSA0
15:06:16.114,DOWN,29,010,990,2080,7,293,26630.08,0x5D4103DE,CSA0
15:06:16.114,UP,30,010,893,2125,,,,0x1E426F7D,CSA0
15:06:16.114,DOWN,30,010,900,2416,7,291,26632.08,0x5E4B8384,CSA0
15:06:16.114,UP,31,010,803,2579,,,,0x1F509F23,CSA0
15:06:16.114,DOWN,31,010,810,2874,7,295,26628.08,0x5F59D32A,CSA0
15:06:16.114,UP,32,010,713,2907,,,,0x205ADEC9,CSA0
15:06:16.114,DOWN,32,010,720,3204,7,297,26626.08,0x606422D0,CSA0
15:06:16.114,UP,33,010,623,3335,,,,0x21683E6F,CSA0
15:06:16.114,DOWN,33,010,630,3643,7,308,26615.08,0x6171DA76,CSA0
15:06:16.114,UP,34,010,533,3687,,,,0x22733E15,CSA0
15:06:16.114,DOWN,34,010,539,109,6,-3578,26654.92,0x62036A1B,CSA0
15:06:16.114,UP,35,010,442,262,,,,0x230835BA,CSA0
15:06:16.114,DOWN,35,010,449,553,7,291,26632.08,0x631149C1,CSA0
15:06:16.114,UP,36,010,352,594,,,,0x24129560,CSA0
15:06:16.114,DOWN,36,010,359,892,7,298,26625.08,0x641BE167,CSA0
15:06:16.114,UP,37,010,262,933,,,,0x251D2D06,CSA0
15:06:16.114,DOWN,37,010,269,1247,7,314,26609.08,0x6526F90D,CSA0
15:06:16.114,UP,38,010,172,1396,,,,0x262BA4AC,CSA0
15:06:16.114,DOWN,38,010,179,1691,7,295,26628.08,0x6634D8B3,CSA0
15:06:16.114,UP,39,010,82,1776,,,,0x27378452,CSA0
15:06:16.114,DOWN,39,010,89,2066,7,290,26633.08,0x67409059,CSA0
15:06:16.114,UP,40,010,1016,2219,,,,0x28455FF8,CSA0
15:06:16.114,DOWN,40,010,1023,2513,7,294,26629.08,0x684E8BFF,CSA0
15:06:16.114,UP,41,010,926,2548,,,,0x294FA79E,CSA0
15:06:16.114,DOWN,41,010,933,2837,7,289,26634.08,0x6958ABA5,CSA0
15:06:16.114,UP,42,010,836,2957,,,,0x2A5C6F44,CSA0
15:06:16.114,DOWN,42,010,843,3252,7,295,26628.08,0x6A65A34B,CSA0
15:06:16.114,UP,43,010,746,3357,,,,0x2B68EEEA,CSA0
15:06:16.114,DOWN,43,010,753,3643,7,286,26637.08,0x6B71DAF1,CSA0
15:06:16.114,UP,44,010,656,3734,,,,0x2C74B690,CSA0
15:06:16.114,DOWN,44,010,662,159,6,-3575,26651.92,0x6C04FA96,CSA0
15:06:16.114,UP,45,010,565,191,,,,0x2D05FE35,CSA0
15:06:16.114,DOWN,45,010,572,480,7,289,26634.08,0x6D0F023C,CSA0
15:06:16.114,UP,46,010,475,563,,,,0x2E119DDB,CSA0
15:06:16.114,DOWN,46,010,482,851,7,288,26635.08,0x6E1A99E2,CSA0
15:06:16.114,UP,47,010,385,999,,,,0x2F1F3D81,CSA0
15:06:16.114,DOWN,47,010,392,1287,7,288,26635.08,0x6F283988,CSA0
15:06:16.114,UP,48,010,295,1343,,,,0x3029FD27,CSA0
15:06:16.114,DOWN,48,010,302,1633,7,290,26633.08,0x7033092E,CSA0
15:06:16.114,UP,49,010,205,1762,,,,0x313714CD,CSA0
15:06:16.114,DOWN,49,010,212,2066,7,304,26619.08,0x714090D4,CSA0
15:06:16.114,UP,50,010,115,2181,,,,0x32442C73,CSA0
