Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
15:08:57.701,UP,60,110,930,594,,,,0x3C1297A2,CSA5
15:08:57.701,DOWN,60,110,911,1123,-19,529,-73605.92,0x7C231B8F,CSA5
15:08:57.701,UP,61,110,840,933,,,,0x3D1D2F48,CSA5
15:08:57.701,DOWN,61,110,821,1475,-19,542,-73618.92,0x7D2E1B35,CSA5
15:08:57.701,UP,62,110,750,1343,,,,0x3E29FEEE,CSA5
15:08:57.701,DOWN,62,110,731,1895,-19,552,-73628.92,0x7E3B3ADB,CSA5
15:08:57.701,UP,63,110,660,1635,,,,0x3F331E94,CSA5
15:08:57.701,DOWN,63,110,641,2186,-19,551,-73627.92,0x7F445281,CSA5
15:08:57.701,UP,0,110,570,2105,,,,0x0041CE3A,CSA5
15:08:57.701,DOWN,0,110,551,2662,-19,557,-73633.92,0x40533227,CSA5
15:08:57.701,UP,1,110,480,2450,,,,0x014C95E0,CSA5
15:08:57.701,DOWN,1,110,461,2999,-19,549,-73625.92,0x415DB9CD,CSA5
15:08:57.701,UP,2,110,390,2864,,,,0x02598586,CSA5
15:08:57.701,DOWN,2,110,371,3401,-19,537,-73613.92,0x426A4973,CSA5
15:08:57.701,UP,3,110,300,3257,,,,0x0365CD2C,CSA5
15:08:57.701,DOWN,3,110,281,3809,-19,552,-73628.92,0x43770919,CSA5
15:08:57.701,UP,4,110,210,3622,,,,0x047134D2,CSA5
15:08:57.701,DOWN,4,110,190,318,-20,-3304,-73619.08,0x4409F0BE,CSA5
15:08:57.701,UP,5,110,119,127,,,,0x0503FC77,CSA5
15:08:57.701,DOWN,5,110,100,672,-19,545,-73621.92,0x45150064,CSA5
15:08:57.701,UP,6,110,29,544,,,,0x0611041D,CSA5
15:08:57.701,DOWN,6,110,10,1111,-19,567,-73643.92,0x4622B80A,CSA5
15:08:57.701,UP,7,110,963,933,,,,0x071D2FC3,CSA5
15:08:57.701,DOWN,7,110,944,1494,-19,561,-73637.92,0x472EB3B0,CSA5
15:08:57.701,UP,8,110,873,1359,,,,0x082A7F69,CSA5
15:08:57.701,DOWN,8,110,854,1895,-19,536,-73612.92,0x483B3B56,CSA5
15:08:57.701,UP,9,110,783,1727,,,,0x0935FF0F,CSA5
15:08:57.701,DOWN,9,110,764,2266,-19,539,-73615.92,0x4946D2FC,CSA5
15:08:57.701,UP,10,110,693,2141,,,,0x0A42EEB5,CSA5
15:08:57.701,DOWN,10,110,674,2662,-19,521,-73597.92,0x4A5332A2,CSA5
15:08:57.701,UP,11,110,603,2439,,,,0x0B4C3E5B,CSA5
15:08:57.701,DOWN,11,110,584,2984,-19,545,-73621.92,0x4B5D4248,CSA5
15:08:57.701,UP,12,110,513,2824,,,,0x0C584601,CSA5
15:08:57.701,DOWN,12,110,494,3366,-19,542,-73618.92,0x4C6931EE,CSA5
15:08:57.701,UP,13,110,423,3211,,,,0x0D645DA7,CSA5
15:08:57.701,DOWN,13,110,404,3764,-19,553,-73629.92,0x4D75A194,CSA5
15:08:57.701,UP,14,110,333,3640,,,,0x0E71C54D,CSA5
15:08:57.701,DOWN,14,110,313,327,-20,-3313,-73610.08,0x4E0A3939,CSA5
15:08:57.701,UP,15,110,242,127,,,,0x0F03FCF2,CSA5
15:08:57.701,DOWN,15,110,223,683,-19,556,-73632.92,0x4F1558DF,CSA5
15:08:57.701,UP,16,110,152,563,,,,0x10119C98,CSA5
15:08:57.701,DOWN,16,110,133,1123,-19,560,-73636.92,0x50231885,CSA5
15:08:57.701,UP,17,110,62,916,,,,0x111CA43E,CSA5
15:08:57.701,DOWN,17,110,43,1460,-19,544,-73620.92,0x512DA02B,CSA5
15:08:57.701,UP,18,110,996,1300,,,,0x1228A7E4,CSA5
