Time,Ch,ID,Sel,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex,CSA_Label
17:36:09.301,UP,12,110,566,175,,,,0x0C057E36,CSA4
17:36:09.301,DOWN,12,110,555,2116,-11,1941,-44248.69,0x4C42222B,CSA4
17:36:09.301,UP,13,110,476,587,,,,0x0D125DDC,CSA4
17:36:09.301,DOWN,13,110,465,2544,-11,1957,-44264.69,0x4D4F81D1,CSA4
17:36:09.301,UP,14,110,386,923,,,,0x0E1CDD82,CSA4
17:36:09.301,DOWN,14,110,375,2857,-11,1934,-44241.69,0x4E594977,CSA4
17:36:09.301,UP,15,110,296,1346,,,,0x0F2A1528,CSA4
17:36:09.301,DOWN,15,110,285,3264,-11,1918,-44225.69,0x4F66011D,CSA4
17:36:09.301,UP,16,110,206,1648,,,,0x103384CE,CSA4
17:36:09.301,DOWN,16,110,195,3624,-11,1976,-44283.69,0x507140C3,CSA4
17:36:09.301,UP,17,110,116,2085,,,,0x11412C74,CSA4
17:36:09.301,DOWN,17,110,104,180,-12,-1905,-44248.85,0x5105A068,CSA4
17:36:09.301,UP,18,110,26,2446,,,,0x124C741A,CSA4
17:36:09.301,DOWN,18,110,14,560,-12,-1886,-44267.85,0x5211800E,CSA4
17:36:09.301,UP,19,110,960,2790,,,,0x135737C0,CSA4
17:36:09.301,DOWN,19,110,948,896,-12,-1894,-44259.85,0x531C03B4,CSA4
17:36:09.301,UP,20,110,870,3237,,,,0x14652F66,CSA4
17:36:09.301,DOWN,20,110,858,1343,-12,-1894,-44259.85,0x5429FB5A,CSA4
17:36:09.301,UP,21,110,780,3619,,,,0x15711F0C,CSA4
17:36:09.301,DOWN,21,110,768,1733,-12,-1886,-44267.85,0x55362B00,CSA4
17:36:09.301,UP,22,110,689,175,,,,0x16057EB1,CSA4
17:36:09.301,DOWN,22,110,678,2137,-11,1962,-44269.69,0x5642CAA6,CSA4
17:36:09.301,UP,23,110,599,546,,,,0x17111657,CSA4
17:36:09.301,DOWN,23,110,588,2495,-11,1949,-44256.69,0x574DFA4C,CSA4
17:36:09.301,UP,24,110,509,890,,,,0x181BD5FD,CSA4
17:36:09.301,DOWN,24,110,498,2843,-11,1953,-44260.69,0x5858D9F2,CSA4
17:36:09.301,UP,25,110,419,1303,,,,0x1928BDA3,CSA4
17:36:09.301,DOWN,25,110,408,3264,-11,1961,-44268.69,0x59660198,CSA4
17:36:09.301,UP,26,110,329,1727,,,,0x1A35FD49,CSA4
17:36:09.301,DOWN,26,110,318,3667,-11,1940,-44247.69,0x5A72993E,CSA4
17:36:09.301,UP,27,110,239,2105,,,,0x1B41CCEF,CSA4
17:36:09.301,DOWN,27,110,227,222,-12,-1883,-44270.85,0x5B06F0E3,CSA4
17:36:09.301,UP,28,110,149,2446,,,,0x1C4C7495,CSA4
17:36:09.301,DOWN,28,110,137,560,-12,-1886,-44267.85,0x5C118089,CSA4
17:36:09.301,UP,29,110,59,2860,,,,0x1D59643B,CSA4
17:36:09.301,DOWN,29,110,47,979,-12,-1881,-44272.85,0x5D1E982F,CSA4
17:36:09.301,UP,30,110,993,3192,,,,0x1E63C7E1,CSA4
17:36:09.301,DOWN,30,110,981,1307,-12,-1885,-44268.85,0x5E28DBD5,CSA4
17:36:09.301,UP,31,110,903,3619,,,,0x1F711F87,CSA4
17:36:09.301,DOWN,31,110,891,1750,-12,-1869,-44284.85,0x5F36B37B,CSA4
