phase,valid_pairs,up_mean_ps,up_var_ps2,up_std_ps,down_mean_ps,down_var_ps2,down_std_ps
99,3000,1769.591000,139.965052,11.830683,1812.964000,242.060704,15.558300
100,3000,1751.689000,185.728946,13.628241,1795.556000,149.310864,12.219282
101,3000,1730.782000,177.531143,13.324081,1780.871667,171.737197,13.104854
102,3000,1711.617000,179.582978,13.400857,1761.124667,274.545125,16.569403
103,3000,1696.913667,185.464880,13.618549,1743.867667,168.215488,12.969791
104,3000,1684.362000,209.994956,14.491203,1732.190000,134.279900,11.587920
105,3000,1652.829667,203.031987,14.248929,1698.481667,179.030997,13.380247
106,3000,1643.401667,82.720331,9.095072,1684.930333,166.462147,12.902021
107,3000,1632.308333,225.179931,15.005996,1669.427000,138.662671,11.775511
108,3000,1612.461000,246.823812,15.710627,1651.303000,217.794524,14.757863
109,3000,1594.393333,171.051956,13.078683,1627.724667,330.430192,18.177739
110,3000,1579.489333,176.731220,13.294029,1612.751000,136.818999,11.696965
111,3000,1567.762333,201.785848,14.205135,1607.284000,36.765344,6.063443
112,3000,1531.109667,138.720973,11.777987,1576.609000,282.552119,16.809287
113,3000,1519.765667,195.636755,13.987021,1561.812667,153.458906,12.387853
114,3000,1500.302333,175.287595,13.239622,1545.609333,137.482046,11.725274
115,3000,1480.898667,159.591065,12.632936,1526.354333,137.101448,11.709033
116,3000,1459.856333,207.680360,14.411119,1501.721667,160.482864,12.668183
117,3000,1443.896000,131.753184,11.478379,1482.758667,160.738425,12.678266
118,3000,1430.064333,202.448861,14.228453,1468.661333,143.271305,11.969599
119,3000,1412.300333,181.488800,13.471778,1447.100667,148.453866,12.184165
120,3000,1404.923000,164.907738,12.841641,1438.638667,163.282105,12.778189
121,3000,1387.663333,174.504656,13.210021,1421.073333,160.687956,12.676275
122,3000,1370.208333,177.696264,13.330276,1402.997000,157.372991,12.544839
123,3000,1352.545000,165.742642,12.874107,1385.308333,142.805264,11.950116
124,3000,1338.283333,171.200389,13.084357,1372.629667,145.260520,12.052407
125,3000,1326.688000,169.613323,13.023568,1362.261000,131.920879,11.485681
126,3000,1300.103000,154.139058,12.415275,1338.894333,143.787835,11.991157
127,3000,1287.553667,191.003787,13.820412,1324.719000,155.086706,12.453381
128,3000,1269.520000,145.577600,12.065554,1306.050333,126.118467,11.230248
129,3000,1252.869000,168.289839,12.972657,1286.216000,144.431344,12.017959
130,3000,1232.192333,183.667341,13.552392,1267.939667,124.582693,11.161662
131,3000,1216.060000,175.910400,13.263122,1251.446667,142.173156,11.923639
132,3000,1204.017000,140.134044,11.837823,1238.814000,123.056737,11.093094
133,3000,1173.969000,155.155372,12.456138,1210.269333,128.483460,11.335054
134,3000,1160.130333,138.112680,11.752135,1196.414667,138.313385,11.760671
135,3000,1142.040333,151.331373,12.301682,1181.164000,103.013771,10.149570
136,3000,1122.171000,125.171092,11.187989,1164.703000,129.125458,11.363338
137,3000,1104.061000,148.253946,12.175958,1148.561333,120.936905,10.997132
138,3000,1089.694000,105.293697,10.261272,1134.088667,130.967472,11.444102
139,3000,1078.827000,121.163738,11.007440,1121.905667,111.456768,10.557309
140,3000,1043.601333,123.183732,11.098817,1089.294333,123.531701,11.114482
141,3000,1030.589333,124.903353,11.176017,1075.328000,118.885749,10.903474
142,3000,1013.505667,137.919301,11.743905,1058.994000,121.045964,11.002089
143,3000,993.965667,124.619821,11.163325,1039.480333,131.269613,11.457295
144,3000,975.765667,131.346755,11.460661,1021.538333,133.120531,11.537787
145,3000,960.244000,141.613131,11.900132,1007.631667,114.544664,10.702554
146,3000,946.026000,133.191991,11.540883,994.401667,146.464331,12.102245
147,3000,918.261000,145.048212,12.043596,967.885333,161.186852,12.695938
148,3000,910.399333,122.094533,11.049639,959.183333,174.736389,13.218789
149,3000,897.533667,142.612867,11.942063,942.300333,173.291467,13.164022
150,3000,881.638000,186.017623,13.638828,925.329333,181.728206,13.480660
151,3000,865.977667,208.839835,14.451292,909.068667,170.265952,13.048600
152,3000,852.263667,195.845480,13.994480,895.773333,174.460622,13.208354
153,3000,840.224667,180.868858,13.448749,883.378667,183.498612,13.546166
154,3000,822.442000,194.679969,13.952776,864.997333,164.791993,12.837133
155,3000,808.152667,206.728693,14.378063,850.829667,171.744653,13.105138
156,3000,789.751667,203.468664,14.264244,833.194667,182.058772,13.492916
157,3000,769.564667,233.258485,15.272802,813.867667,172.743488,13.143192
158,3000,746.201667,385.924331,19.644957,797.449000,147.213399,12.133153
159,3000,730.490667,200.423246,14.157092,784.536667,133.601322,11.558604
160,3000,723.542667,35.190846,5.932187,773.820333,181.356053,13.466850
161,3000,705.775000,338.570375,18.400282,737.203000,185.407124,13.616428
162,3000,689.592333,328.971475,18.137571,722.730333,208.306947,14.432843
163,3000,671.066667,186.765556,13.666220,704.336667,237.781989,15.420181
164,3000,652.456000,208.496064,14.439393,688.341333,100.465492,10.023248
165,3000,635.023000,199.758471,14.133594,675.707333,179.349013,13.392125
166,3000,621.196000,175.571584,13.250343,659.322000,236.876983,15.390808
167,3000,608.804667,214.337845,14.640282,643.880333,206.368013,14.365515
168,3000,569.377333,200.032286,14.143277,604.841667,215.169931,14.668672
169,3000,556.563667,226.861947,15.061937,593.994000,98.134631,9.906292
170,3000,537.290000,187.015900,13.675376,582.443667,196.891493,14.031803
171,3000,517.591000,198.757719,14.098146,561.113000,197.370231,14.048852
172,3000,497.998333,209.530331,14.475163,541.792000,146.644736,12.109696
173,3000,484.521667,104.324197,10.213922,526.182333,147.175088,12.131574
174,3000,474.419667,175.842880,13.260576,513.256333,142.559293,11.939820
175,3000,458.858667,263.292692,16.226296,488.044333,178.806368,13.371850
176,3000,449.998667,271.565998,16.479260,478.408333,152.942264,12.366983
177,3000,430.119333,292.943760,17.115600,461.551000,152.787399,12.360720
178,3000,413.126667,122.869289,11.084642,443.970000,163.104433,12.771235
179,3000,402.187000,161.554031,12.710391,426.502000,161.229996,12.697637
180,3000,387.223000,285.549271,16.898203,412.316333,137.055600,11.707075
181,3000,371.860667,223.850586,14.961637,401.382000,142.792076,11.949564
182,3000,345.305667,167.907568,12.957915,376.451667,148.176331,12.172770
183,3000,332.308333,168.897931,12.996074,362.325000,148.542708,12.187810
184,3000,315.561333,149.879572,12.242531,344.568333,138.271331,11.758883
185,3000,295.501000,156.329999,12.503200,325.000333,138.319000,11.760910
186,3000,275.147333,168.270960,12.971930,304.925000,155.234708,12.459322
187,3000,260.075667,150.953941,12.286331,288.074000,126.904524,11.265191
188,3000,247.716667,156.395722,12.505828,276.024667,149.776058,12.238303
189,3000,218.189333,163.522820,12.787604,246.983333,150.394389,12.263539
190,3000,204.506333,163.273960,12.777870,233.783000,136.839244,11.697831
191,3000,186.583000,161.979111,12.727101,218.976667,132.081456,11.492670
192,3000,166.926333,172.452907,13.132133,200.848333,147.224664,12.133617
193,3000,148.860667,165.489253,12.864263,184.431667,122.162664,11.052722
194,3000,133.066333,169.430600,13.016551,170.124667,133.130458,11.538217
195,3000,121.210667,176.395620,13.281401,158.177000,140.491671,11.852918
196,3000,86.009000,162.732252,12.756655,125.914000,159.108604,12.613826
197,3000,72.222000,145.956716,12.081255,111.805667,134.987901,11.618429
198,3000,55.555000,159.618308,12.634014,95.983333,133.205056,11.541449
199,3000,36.732667,139.624533,11.816283,76.962333,137.222248,11.714190
200,3000,202.269333,666082.456793,816.138748,58.948333,134.723664,11.607052
201,3000,1634.243000,3575353.185284,1890.860435,42.712000,134.871723,11.613429
202,3000,3180.991333,2063777.494592,1436.585359,31.414000,4958.672604,70.417843
203,3000,3805.459667,206.489040,14.369727,1353.005000,3332959.200308,1825.639395
204,3000,3796.716000,189.680011,13.772437,2664.022667,3104914.289486,1762.076698
205,3000,3781.605333,182.746238,13.518367,3777.195667,177533.388048,421.347111
206,3000,3763.995333,180.376645,13.430437,3808.775000,155.082375,12.453207
207,3000,3748.304000,195.566251,13.984500,3792.999000,167.558332,12.944432
208,3000,3733.549000,195.644932,13.987313,3778.468667,171.487018,13.095305
209,3000,3722.614333,150.223595,12.256574,3766.242000,186.000769,13.638210
210,3000,3705.408000,183.786203,13.556777,3745.444000,218.566864,14.784007
211,3000,3691.383667,195.570467,13.984651,3732.201333,137.669465,11.733263
212,3000,3672.089667,223.370960,14.945600,3716.546000,192.771884,13.884231
213,3000,3649.197667,239.740595,15.483559,3696.610333,185.403827,13.616307
214,3000,3627.411667,258.579531,16.080408,3679.368000,151.096576,12.292135
215,3000,3615.125667,93.362541,9.662429,3664.460667,158.749120,12.599568
216,3000,3609.111333,111.047605,10.537913,3652.924667,179.282992,13.389660
217,3000,3581.290667,303.359513,17.417219,3617.848667,129.210432,11.367077
218,3000,3566.545333,184.357945,13.577848,3605.902333,141.218128,11.883523
219,3000,3549.606333,166.569360,12.906175,3590.304667,178.953845,13.377363
220,3000,3531.037333,150.136606,12.253024,3571.214667,158.767918,12.600314
221,3000,3513.373000,172.844538,13.147035,3552.193333,159.114622,12.614064
222,3000,3497.871000,159.781026,12.640452,3536.637667,130.542381,11.425514
223,3000,3484.774000,175.288924,13.239672,3524.527333,155.053920,12.452065
224,3000,3439.100000,177.142000,13.309470,3483.721667,156.458864,12.508352
